TOP_OCCUPATIONS;NUMBER_CERTIFIED_APPLICATIONS;PERCENRAGE
SOFTWARE ENGINEER;2;20.0%
ASSOCIATE PRODUCT MANAGER(15-1199.09);1;10.0%
DATABASE ADMINISTRATOR;1;10.0%
MICROSOFT DYNAMICS CRM APPLICATION DEVELOPER;1;10.0%
SENIOR JAVA DEVELOPER;1;10.0%
SENIOR ORACLE ADF DEVELOPER;1;10.0%
SENIOR SYSTEM ARCHITECT;1;10.0%
SENIOR SYSTEMS ANALYST JC60;1;10.0%
TAX SENIOR;1;10.0%
